group,filename,skinny,straight,wide,dominant
past_skinny,1.jpeg,0.23406022787094116,0.20248761773109436,0.16484040021896362,skinny
past_skinny,10.jpeg,0.30848854780197144,0.2681647539138794,0.2055099606513977,skinny
past_skinny,2.jpeg,0.22484800219535828,0.18968668580055237,0.15752717852592468,skinny
past_skinny,3.jpeg,0.26084476709365845,0.23952443897724152,0.2083929479122162,skinny
past_skinny,4.jpeg,0.3140853941440582,0.26281821727752686,0.24008943140506744,skinny
past_skinny,5.jpeg,0.2420344352722168,0.22353719174861908,0.200563445687294,skinny
past_skinny,6.jpeg,0.3109758496284485,0.27935847640037537,0.21297875046730042,skinny
past_skinny,7.jpeg,0.20582672953605652,0.16750895977020264,0.15619070827960968,skinny
past_skinny,8.jpeg,0.29261988401412964,0.26724204421043396,0.23355317115783691,skinny
past_skinny,9.jpeg,0.2426990270614624,0.2253185510635376,0.1922900676727295,skinny
wide_period,1.jpeg,0.15001904964447021,0.21203944087028503,0.2711623013019562,wide
wide_period,10.jpeg,0.18660369515419006,0.22946065664291382,0.2847774624824524,wide
wide_period,2.jpeg,0.12970399856567383,0.1831969916820526,0.21593062579631805,wide
wide_period,3.jpeg,0.22478900849819183,0.25787585973739624,0.31923776865005493,wide
wide_period,4.jpeg,0.16379880905151367,0.21879282593727112,0.2652881145477295,wide
wide_period,5.jpeg,0.1766871213912964,0.2104552984237671,0.27468571066856384,wide
wide_period,6.jpeg,0.1569523960351944,0.21618467569351196,0.23655098676681519,wide
wide_period,7.jpeg,0.13211014866828918,0.17232364416122437,0.2338767796754837,wide
wide_period,8.jpeg,0.21194753050804138,0.2783679962158203,0.3325633704662323,wide
wide_period,9.jpeg,0.14561617374420166,0.2053413689136505,0.2473212033510208,wide
modern_slim,1.jpeg,0.25520527362823486,0.28434211015701294,0.2751540541648865,straight
modern_slim,10.jpeg,0.17538142204284668,0.17994529008865356,0.17918258905410767,straight
modern_slim,2.jpeg,0.255357027053833,0.24325260519981384,0.2934102416038513,wide
modern_slim,3.jpeg,0.2767731249332428,0.27382075786590576,0.2921358644962311,wide
modern_slim,4.jpeg,0.25529420375823975,0.22931459546089172,0.1910918653011322,skinny
modern_slim,5.jpeg,0.25360697507858276,0.2273958921432495,0.19206827878952026,skinny
modern_slim,6.jpeg,0.238201305270195,0.2460022121667862,0.20178958773612976,straight
modern_slim,7.jpeg,0.25273755192756653,0.26209887862205505,0.25808870792388916,straight
modern_slim,8.jpeg,0.21102793514728546,0.22562259435653687,0.2256539762020111,wide
modern_slim,9.jpeg,0.2463141679763794,0.2229461669921875,0.2165004163980484,skinny
