group,skinny,straight,wide,dominant
past_skinny,0.26364828646183014,0.23256469368934632,0.19719360619783402,skinny
wide_period,0.16782279312610626,0.2184038758277893,0.2681394323706627,wide
modern_slim,0.24198989868164061,0.2394741103053093,0.23250755816698074,skinny
